mode,scenario,rows,rounds,profit,fulfillment,mean_price,forecast_mae,transfer,reallocated,defaults,dumps,final_backlog,price_pressure_cost,decision_sources,fallback_decisions,strategy_traces,strategy_fallbacks
llm,baseline,36,12,3372.6646871735657,0.9954510300822669,5.627777777777777,6.027777777777778,7.118326310344596,124.63228959215951,0,9,0.3576943209899098,0.0,llm:36,0,0,0
llm,price_war,36,12,2850.305676752318,0.9880639615721006,5.605555555555555,5.416666666666667,31.66760740506344,141.1250359844012,1,10,0.5313446999373536,237.94222310766278,llm:36,0,0,0
llm,supply_shock,36,12,3597.16064823225,0.9322375254578423,5.633333333333333,9.944444444444445,15.15374187845839,59.7781657280906,9,9,11.095074498381644,0.0,llm:36,0,0,0
llm,high_volatility,36,12,3332.4466212865696,0.9884299391679219,5.5777777777777775,8.305555555555555,6.035237284152984,93.0330807378225,2,7,0.7353769916328567,0.0,llm:36,0,0,0
llm,no_reputation,36,12,3182.7600142468636,0.9975890694608165,5.6,5.5,5.761029098873074,128.11006945666753,0,11,0.6739869923240673,0.0,llm:36,0,0,0
llm,no_transfer,36,12,3434.63094950313,0.9884089364707598,5.594444444444444,5.361111111111111,0.0,52.54120413978382,2,7,0.0,0.0,llm:36,0,0,0
llm-context,baseline,36,12,3514.752285332293,0.9936765981632196,5.544444444444444,6.583333333333333,6.230915803908033,193.93356620964576,1,8,0.040865946079652236,0.0,llm-context:36,0,0,0
llm-context,price_war,36,12,2847.903113372399,0.9793074596564071,5.561111111111111,5.972222222222222,11.98730792251996,113.54168386713468,1,11,0.6605424122333663,235.25490580721586,llm-context:36,0,0,0
llm-context,supply_shock,36,12,3463.145082825792,0.928145526852635,5.533333333333333,8.916666666666666,49.35018780119372,109.47700800659412,11,10,7.806716149387462,0.0,llm-context:36,0,0,0
llm-context,high_volatility,36,12,3403.9423115125173,0.9806263046164674,5.605555555555555,7.305555555555555,1.7104918679918057,122.245484796928,5,9,0.0,0.0,llm-context:36,0,0,0
llm-context,no_reputation,36,12,3411.8499892536247,0.9758446382525456,5.733333333333333,6.472222222222222,8.003489207063549,110.82006382391972,5,11,0.0934787867965411,0.0,llm-context:36,0,0,0
llm-context,no_transfer,36,12,3522.4293956302763,0.9883091668581017,5.583333333333333,6.333333333333333,0.0,91.57916032295982,2,8,0.25424754840592517,0.0,llm-context:36,0,0,0
llm-adaptive,baseline,36,12,3716.367127896827,0.9933925624690858,5.833333333333333,26.86111111111111,39.98574419724581,199.93390408668498,2,0,0.5230569286120242,0.0,llm-adaptive:36,0,36,0
llm-adaptive,price_war,36,12,3597.08766387086,0.9977642090874045,5.861111111111111,27.333333333333332,10.732736049761602,83.9054274437236,0,0,0.0,227.50200000000004,llm-adaptive:36,0,36,0
llm-adaptive,supply_shock,36,12,4237.7842281408675,0.9530285045487294,5.855555555555556,55.361111111111114,92.5205200902128,158.85058199494864,7,0,10.924170830821264,0.0,llm-adaptive:36,0,36,0
llm-adaptive,high_volatility,36,12,3706.563878479929,0.9888444594764009,5.833333333333333,40.05555555555556,33.85331427447461,181.67287807051395,4,0,1.318257962009362,0.0,llm-adaptive:36,0,36,0
llm-adaptive,no_reputation,36,12,3532.8152979803326,0.9886391755317563,5.75,28.166666666666668,41.868073311005304,147.63652252920062,4,0,3.2322768691033517,0.0,llm-adaptive:36,0,36,0
llm-adaptive,no_transfer,36,12,3558.803864717758,0.9792129784059018,5.8277777777777775,27.25,0.0,92.76808459418123,8,0,3.0195447126202626,0.0,llm-adaptive:36,0,36,0
llm-context-adaptive,baseline,36,12,3799.4715382667696,0.9937918951568643,5.838888888888889,26.694444444444443,40.25470951045204,201.26474625291812,2,0,0.5217010352610206,0.0,llm-context-adaptive:36,0,36,0
llm-context-adaptive,price_war,36,12,3535.851284411917,0.9948709361424715,5.838888888888889,26.305555555555557,10.682926720749677,74.46545139769326,0,0,0.0,227.50200000000004,llm-context-adaptive:36,0,36,0
llm-context-adaptive,supply_shock,36,12,4184.9783582312875,0.9379045606138328,5.861111111111111,58.30555555555556,82.95823133841047,121.80331076288378,7,0,10.759046089382588,0.0,llm-context-adaptive:36,0,36,0
llm-context-adaptive,high_volatility,36,12,3754.890124183032,0.9901789410190489,5.866666666666666,39.666666666666664,27.05315213941526,166.86595649974277,4,0,1.0580748327455556,0.0,llm-context-adaptive:36,0,36,0
llm-context-adaptive,no_reputation,36,12,3709.81727305889,0.9921574726791939,5.783333333333333,27.52777777777778,41.80901249525405,159.267847654369,2,0,1.034404444951509,0.0,llm-context-adaptive:36,0,36,0
llm-context-adaptive,no_transfer,36,12,3526.233243395083,0.9804812464345222,5.844444444444445,28.083333333333332,0.0,94.39105178821133,8,0,1.5374137189604797,0.0,llm-context-adaptive:36,0,36,0
